"Name";"Ingredients";"Energy_kcal";"Fat_g";"Carbohydrates_g";"Fiber_g";"Protein_g"
"spaghetti-z-wolowym-ragu";c("mięso mielone wołowe", "czerwone wino wytrawne", "cebula", "ząbek czosnku", "marchew", "bazylia świeża", "pomidorki cherry w puszce", "passata pomidorowa", "pomidor suszony", "seler naciowy", "oregano suszone", "oliwa z oliwek", "sól", "pieprz czarny", "ser pecorino", "makaron spaghetti");"829,6";"24,1";"100,1";"9,8";"45,9"
"risotto-z-kurkami-przepis-nie-tylko-na-lato";c("bulion warzywny", "ryż arborio", "wino białe", "kurki", "szalotka", "czosnek główka", "oliwa z oliwek", "parmezan", "masło", "sól", "pieprz czarny");"365";"20";"30,5";"1,8";"8,5"
"rozowy-makaron-z-burakami";c("mąka pszenna", "jajko", "sok z buraka", "oliwa z oliwek", "ząbek czosnku", "bazylia świeża", "buraki gotowane", "pieprz czarny", "sól", "miód", "ocet balsamiczny", "sok z buraka", "masło", "serek w stylu włoskim");"979";"44,2";"120,1";"5,8";"27"
"zapiekanka-ryzowa-z-warzywami-i-kurczakiem";c("warzywa na patelnię w stylu greckim", "kurczak filety z piersi", "ryż biały", "cebula", "czosnek główka", "śmietana 18%", "jajko", "ser żółty", "oliwa z oliwek", "oregano suszone", "pieprz ziołowy, mielony", "sól", "pieprz czarny");"585,5";"33";"32";"1,3";"29,6"
"zapiekanka-z-miesem-mielonym-warzywami-w-stylu-greckim-i-rozmarynem";c("warzywa na patelnię w stylu greckim", "mięso mielone wieprzowe", "olej", "śmietana 18%", "jajko", "sól", "pieprz czarny", "papryka mielona słodka", "mozzarella", "rozmaryn świeży");"645,3";"45,2";"19,1";"5,1";"37,7"
"grzybowa-potrawka-z-wegangurtem";c("pieczarki brązowe", "pieczarka", "boczniaki", "olej", "ząbek czosnku", "tymianek świeży", "sól", "pieprz czarny", "tymianek świeży", "ząbek czosnku", "wino białe", "mleczko kokosowe", "sól", "pieprz czarny", "wegański jogurt kokosowy", "mąka pszenna", "proszek do pieczenia", "wegański jogurt kokosowy", "sól", "olej");"979,7";"48,6";"110,1";"12,5";"21,8"
"pinsa-z-szynka-prosciutto-cotto-i-buratta";c("sos pomidorowy", "burrata", "oliwa z oliwek", "pesto", "prosciutto cotto", "bazylia świeża", "pinsa");"312,4";"14,3";"29,5";"0,7";"14,5"
"glazurowane-marchewki-z-pasta-z-baklazana";c("bakłażan", "oliwa z oliwek", "sól", "pieprz czarny", "czosnek główka", "papryczka chili czerwona", "cebula dymka", "limonka", "kolendra świeża", "marchew", "limonka", "miód", "oliwa z oliwek", "kolendra świeża", "masło", "czosnek główka", "imbir mielony", "mięta świeża", "pistacje");"964,4";"59,7";"103";"29,4";"19,2"
"risotto-z-cukinia";c("ryż arborio", "bulion warzywny", "wino białe", "parmezan", "oliwa z oliwek", "masło", "cukinia", "ząbek czosnku", "cebula", "natka pietruszki", "sól", "pieprz czarny");"247,8";"12,2";"24,3";"2,1";"6,6"
"fettuccine-alfredo-przepis-na-kultowy-makaron";c("makaron fettuccine", "masło", "parmezan tarty", "sól", "pieprz czarny");"739,5";"45,1";"62";"2,3";"20,6"
"cannelloni-ze-szpinakiem-i-ricotta";c("szpinak świeży", "ser ricotta", "parmezan tarty", "ząbek czosnku", "masło", "sól", "pieprz czarny", "passata pomidorowa", "oliwa z oliwek", "cebula", "tymianek suszony", "oregano suszone", "sól", "pieprz czarny", "makaron cannelloni", "parmezan");"1950,1";"95,4";"151";"16,6";"108,3"
"warzywa-z-woka-po-chinsku";c("cukinia", "groszek cukrowy", "ząbek czosnku", "papryka czerwona", "marchew", "cebula", "olej", "sos sojowy", "szczypior cebuli", "cukier", "sól", "pieprz czarny", "pasta chili");"258,9";"14";"29,7";"7,6";"6"
"zapiekanka-makaronowa-z-boczkiem";c("makaron penne", "pomidory z puszki", "mozzarella, tarta", "boczek wędzony", "papryka czerwona", "ząbek czosnku", "olej", "sól", "pieprz czarny", "papryka wędzona mielona", "oregano suszone");"856,1";"42,7";"81,3";"3,4";"34,8"
"gulasz-z-chorizo-i-krewetkami";c("chorizo", "cebula", "marchew", "seler naciowy", "czosnek główka", "papryka wędzona mielona", "koncentrat pomidorowy", "bulion drobiowy", "krewetki", "ciecierzyca konserwowa", "natka pietruszki", "sól", "pieprz czarny");"461,4";"19,7";"36,7";"9";"35,4"
